ŒUVRE 1	ŒUVRE 2	NUM	PERCENTAGE	TEXTE 1	TEXTE 2	INTRA
Périodiques et collectifs 1943-1976	Campagne perdue 1972	9	1	…  Heym savait-il qu’aux pythagoriciens le signe visible de l’âme était un papillon ?	… Heym savait-il qu’aux pythagoriciens le signe visible de l’âme était un papillon ?	False
Périodiques et collectifs 1915-1942	Haut-Jorat 1949	11	0.6111	… Avant de venir ici manger une omelette, nous sommes entrés à deux dans une cour de ferme demander du lait.	Avant de venir ici, leur dit-il, nous sommes entrés à deux dans une cour de ferme demander du lait.	False
Périodiques et collectifs 1943-1976	Air de la solitude 1945	14	1	… Comme il galope, et qu’il est vain, lui aussi, son galop dans la lumière sans force de la mémoire !	Comme il galope, et qu’il est vain, lui aussi, son galop dans la lumière sans force de la mémoire !	False
Périodiques et collectifs 1915-1942	Périodiques et collectifs 1915-1942	28	0.6086	… D’année en année j’éprouve mieux, et jusqu’à l’aigu même, le sentiment d’une ressource poétique infinie en pensant à ce bas-pays où nous vivons, si prompt à revêtir sa verdure quand les montagnes d’avril ou de mai appuient encore au ciel d’horizon une épaisse lèvre de neige.	Du temps a passé, mais d’année en année j’éprouve mieux, et jusqu’à l’aigu même, le sentiment d’une ressource poétique infinie en pensant à ce bas-pays où nous vivons, si prompt à reverdir quand les montagnes d’avril ou de mai appuient encore au ciel d’horizon leur dure lèvre de glace.	True
Petit traité de la marche en plaine 1932	Périodiques et collectifs 1915-1942	2	1	… Je l’aimais presque.	… Je l’aimais presque.	False
JOURNAL	JOURNAL	6	0.4285	… Je suis dans la forêt de juin battue d’un triste vent farouche, inlassable.	Je suis dans la forêt de juin d  battue d’un tiède vent farouche, inlassable.	True
JOURNAL	Campagne perdue 1972	6	0.5	… Je suis dans la forêt de juin battue d’un triste vent farouche, inlassable.	Dans la forêt de juin battue d’un tiède vent farouche, inlassable.	False
Périodiques et collectifs 1943-1976	Air de la solitude 1945	36	0.9	… Les morts autour de nous, le soleil immobile comme pour toujours à la pointe d’un chêne, une feuille nue sous nos yeux qui éclatent de lumière, éternelle, les voix dans un silence plus peuplé que notre cœur, une grondante musique solennelle aux veines du monde comme un sang.	Les morts autour de nous, le soleil immobile comme pour toujours à la pointe d’un chêne, une feuille nue sous nos yeux qui éclate de lumière, éternelle, les voix dans un silence plus peuplé que notre cœur, une grondante musique solennelle aux veines du monde comme un sang.	False
Périodiques et collectifs 1943-1976	Périodiques et collectifs 1915-1942	25	0.6578	… Les villages aux noms perdus vont m’accueillir l’un après l’autre, avec leurs jardins trop fleuris, doux au regard comme une tapisserie usée, et ces nappes d’odeur – réséda, rose, poussière – que l’on divise, lèvres sèches, comme un nageur.	Je puis repartir maintenant vers ces villages aux noms perdus qui vont m’accueillir l’un après l’autre, avec leurs jardins trop fleuris, doux au regard comme une riche tapisserie usée, et ces nappes d’odeur – réséda, rose, poussière – que l’on divise, lèvres sèches, comme un nageur.	False
Périodiques et collectifs 1943-1976	Périodiques et collectifs 1915-1942	29	1	… Les villages aux noms perdus vont m’accueillir l’un après l’autre, avec leurs jardins trop fleuris, doux au regard comme une tapisserie usée, et ces nappes d’odeur – réséda, rose, poussière – que l’on divise, lèvres sèches, comme un nageur.	Les villages aux noms perdus vont m’accueillir l’un après l’autre, avec leurs jardins trop fleuris, doux au regard comme une tapisserie usée, et ces nappes d’odeur – réséda, rose, poussière – que l’on divise, lèvres sèches, comme un nageur.	False
